name_pl,name_ru,type,producer,seller,packages,unit,currency,purchase_price,retail_gross,retail_net,website,price_source_ref,justification_pl,justification_ru
Zaprawa tynkarska cementowo-wapienna Atlas 25kg,Штукатурный раствор цементно-известковый Atlas,ZAPRAWA_TYNKARSKA,Atlas,OBI,"norm,lux",kg,PLN,0.70,1.15,0.93,https://cdn.shopify.com/s/files/1/0916/9050/0443/files/pl_9738_20240507_110925.pdf?v=1745357168,"karta techniczna Atlas Zaprawa Tynkarska (PDF), worek 25 kg, cena netto orientacyjna",Cementowo-wapienna zaprawa tynkarska CS II do odtworzenia tynku na scianach i stropach po bruzdowaniu; rozliczana po kg.,Цементно-известковый штукатурный раствор CS II для восстановления штукатурки на стенах и потолках после штробления; учитывается по кг.
Gładź gipsowa Atlas Omega 20kg,Гипсовая шпаклёвка Atlas Omega,GLADZ_GIPSOWA,Atlas,Castorama,"budget,norm,lux",kg,PLN,1.45,2.29,1.86,https://www.atlas.com.pl/produkt/omega/,"karta produktu Atlas Omega, sekcja srednie zuzycie ~0.8 kg/m2/mm, worek 20 kg","Biala gipsowa gladz szpachlowa Atlas, srednie zuzycie ~0.8 kg/m2/mm, do wykonczenia napraw scian i stropow po bruzdowaniu.","Белая гипсовая шпаклёвка Atlas, средний расход ~0.8 кг/м2/мм, для финишной заделки ремонта стен и потолков после штробления."
Grunt uniwersalny CT 17 (odp.),Грунт универсальный (аналог CT 17),GRUNT_UNIWERSALNY,Ceresit,PSB Mrówka,"budget,norm,lux",l,PLN,5.20,7.99,6.50,https://www.ceresit.com/products/interoir-finishing/product.html/ceresit-ct-17/SAP_0201JAC014F1.html,"karta produktu Ceresit CT 17, cena netto orientacyjna z katalogu PSB","Typowy grunt glebokopenetrujacy do przygotowania podloza przed naprawami zaprawa/gladzia; anchor kategorii, tanszy odpowiednik CT 17.","Типовой грунт глубокого проникновения для подготовки основания перед ремонтом раствором/шпаклёвкой; якорь категории, более дешёвый аналог CT 17."
Pianka montażowa poliuretanowa Soudal 750ml,Монтажная пена полиуретановая Soudal 750мл,PIANKA_MONTAZOWA,Soudal,OBI,"norm,lux",szt,PLN,12.00,19.99,16.25,https://www.soudal.pl,"karta produktu Soudal piana pistoletowa 750ml, cena netto orientacyjna za 1 puszke (rozliczana jako szt)",Poliuretanowa pianka montazowa do osadzenia i uszczelnienia kanalow wentylacyjnych po relokacji/wydluzeniu; puszka liczona jako 1 szt.,Полиуретановая монтажная пена для установки и уплотнения вентканалов после переноса/удлинения; баллон считается как 1 шт.
Płyta gipsowo-kartonowa Norgips GKB 12.5mm,Гипсокартонный лист Norgips GKB 12.5мм,PLYTA_GK,Norgips,PSB Mrówka,budget,m2,PLN,9.80,15.49,12.59,https://www.norgips.pl/produkty/plyty-gipsowo-kartonowe,"karta produktu Norgips GKB (płyta zwykła 12.5mm, 1200x2600), cena netto ~12.6 PLN/m2","Budżetowa płyta GK zwykła (typ A) 12.5mm, standard rynku PL do ścian działowych i sufitów w suchych pomieszczeniach.","Бюджетный обычный ГК-лист (тип A) 12.5мм, стандарт польского рынка для перегородок и потолков в сухих помещениях."
Płyta gipsowo-kartonowa Rigips RB 12.5mm,Гипсокартонный лист Rigips RB 12.5мм,PLYTA_GK,Rigips,Leroy Merlin,"norm,lux",m2,PLN,10.90,16.99,13.81,https://www.rigips.pl/produkty/plyty,"karta produktu Rigips RB 12.5 (Die Weiße/RB, typ A), cena netto ~13.8 PLN/m2","Płyta GK zwykła Rigips RB 12.5mm typ A wg PN-EN 520, wariant norm/lux o stabilnej jakości krawędzi VARIO do szpachlowania.","Обычный ГК-лист Rigips RB 12.5мм тип A по PN-EN 520, вариант norm/lux со стабильной кромкой VARIO под шпаклёвку."
Płyta gipsowo-kartonowa impregnowana Rigips RBI 12.5mm,Влагостойкий ГК-лист Rigips RBI 12.5мм,PLYTA_GK_IMPREGNOWANA,Rigips,OBI,"norm,lux",m2,PLN,13.50,20.99,17.06,https://www.rigips.pl/produkty/plyty,"karta produktu Rigips RBI 12.5 (płyta impregnowana, typ H2), cena netto ~17 PLN/m2","Płyta GK impregnowana (typ H2, zielona) do pomieszczeń wilgotnych - łazienka, obudowa wanny, stelaż WC; wariant norm/lux.","Влагостойкий ГК-лист (тип H2, зелёный) для влажных помещений - ванная, обшивка ванны, инсталляция WC; вариант norm/lux."
Płyta OSB-3 12mm,Плита OSB-3 12мм,PLYTA_OSB,Kronopol,Castorama,"budget,norm,lux",m2,PLN,22.00,33.99,27.63,https://www.castorama.pl/produkty/budowa/plyty-budowlane/plyty-osb,"katalog Castorama płyta OSB-3 12mm, cena netto ~27.6 PLN/m2",Płyta OSB-3 12mm konstrukcyjna wodoodporna do licowania/przedścianek i podkładów; standard rynku PL.,Плита OSB-3 12мм конструкционная влагостойкая для облицовки/фальшстен и оснований; стандарт польского рынка.
Profil sufitowy CD 60/27 (4m),Профиль потолочный CD 60/27 (4м),PROFIL_GK,Rigips,PSB Mrówka,"budget,norm,lux",mb,PLN,3.10,4.79,3.89,https://www.rigips.pl/produkty/profile-i-akcesoria,"karta profili Rigips CD 60/27 wg PN-EN 14195, cena netto ~3.9 PLN/mb",Profil nośny CD 60/27 ze stali ocynkowanej do rusztu sufitów podwieszanych i okładzin ściennych; standard suchej zabudowy.,Несущий профиль CD 60/27 из оцинкованной стали для каркаса подвесных потолков и облицовок; стандарт сухого строительства.
Profil przyścienny UD 27/28 (3m),Профиль направляющий UD 27/28 (3м),PROFIL_GK,Rigips,PSB Mrówka,"budget,norm,lux",mb,PLN,2.60,3.99,3.24,https://www.rigips.pl/produkty/profile-i-akcesoria,"karta profili Rigips UD 27 wg PN-EN 14195, cena netto ~3.2 PLN/mb",Profil obwodowy UD 27 mocowany do ścian/stropu jako prowadnica profili CD; standard rusztu sufitowego.,"Направляющий профиль UD 27, крепится к стенам/перекрытию как прогон для CD; стандарт потолочного каркаса."
Profil ścienny CW 75 (3m),Профиль стоечный CW 75 (3м),PROFIL_GK,Rigips,Leroy Merlin,"norm,lux",mb,PLN,5.20,7.99,6.50,https://www.rigips.pl/produkty/profile-i-akcesoria,"karta profili Rigips CW 75 wg PN-EN 14195, cena netto ~6.5 PLN/mb",Profil słupkowy CW 75 do konstrukcji ścianek działowych GK; wariant norm/lux z szerszą wełną akustyczną.,Стоечный профиль CW 75 для каркаса ГК-перегородок; вариант norm/lux с более широкой акустической ватой.
Profil ścienny UW 75 (3m),Профиль направляющий UW 75 (3м),PROFIL_GK,Rigips,Leroy Merlin,"norm,lux",mb,PLN,4.60,7.09,5.76,https://www.rigips.pl/produkty/profile-i-akcesoria,"karta profili Rigips UW 75 wg PN-EN 14195, cena netto ~5.8 PLN/mb",Profil poziomy UW 75 (dół/góra) prowadzący słupki CW w ściance działowej GK; standard konstrukcji.,"Горизонтальный профиль UW 75 (низ/верх), направляющий стойки CW в ГК-перегородке; стандарт конструкции."
Profil przyścienny UD 27/28 budżetowy (3m),Профиль направляющий UD 27/28 бюджетный (3м),PROFIL_GK,Siniat,PSB Mrówka,budget,mb,PLN,2.30,3.59,2.92,https://www.siniat.pl/pl-pl/produkty/profile,"karta profili Siniat UD 27, cena netto ~2.9 PLN/mb",Budżetowy profil obwodowy UD 27 Siniat do prostego rusztu sufitowego i okładzin; tańszy odpowiednik.,Бюджетный направляющий профиль UD 27 Siniat для простого каркаса потолка и облицовок; более дешёвый аналог.
Wkręt do płyt GK 3.5x25mm,Саморез по ГКЛ 3.5x25мм,WKRET_GK,Rigips,PSB Mrówka,budget,szt,PLN,0.03,0.05,0.04,https://www.rigips.pl/produkty/profile-i-akcesoria,"karta wkrętów Rigips do GK 3.5x25 (opak. 1000 szt), cena netto ~0.04 PLN/szt",Wkręt fosforanowany 3.5x25mm do mocowania płyt GK do profili stalowych; podstawowy łącznik suchej zabudowy.,Фосфатированный саморез 3.5x25мм для крепления ГК-листов к стальным профилям; базовый крепёж сухого строительства.
Wkręt do płyt GK 3.5x35mm,Саморез по ГКЛ 3.5x35мм,WKRET_GK,Knauf,Leroy Merlin,"norm,lux",szt,PLN,0.04,0.06,0.05,https://www.knauf.pl/produkty/wkrety-i-akcesoria,"karta wkrętów Knauf do GK 3.5x35 (opak. 1000 szt), cena netto ~0.05 PLN/szt",Wkręt 3.5x35mm do drugiej warstwy płyt GK / grubszych okładzin; wariant norm/lux przy podwójnym płytowaniu.,Саморез 3.5x35мм для второго слоя ГК / более толстых облицовок; вариант norm/lux при двойной обшивке.
Masa szpachlowa do spoin Rigips Vario,Шпаклёвка для швов Rigips Vario,MASA_SPOINOWA,Rigips,PSB Mrówka,budget,kg,PLN,3.10,4.89,3.98,https://www.rigips.pl/produkty/masy-szpachlowe,"karta produktu Rigips Vario (masa do spoin z taśmą), worek 25kg, cena netto ~4 PLN/kg","Gipsowa masa szpachlowa do spoinowania płyt GK z taśmą, zużycie ~0.3-0.5 kg/m2 okładziny; budżetowy standard.","Гипсовая шпаклёвка для заделки швов ГК с лентой, расход ~0.3-0.5 кг/м2 обшивки; бюджетный стандарт."
Masa szpachlowa do spoin Rigips Uniflott,Шпаклёвка для швов Rigips Uniflott,MASA_SPOINOWA,Rigips,Leroy Merlin,"norm,lux",kg,PLN,5.40,8.49,6.90,https://www.rigips.pl/produkty/masy-szpachlowe,"karta produktu Rigips Uniflott (masa spoinowa bez taśmy), worek 25kg, cena netto ~6.9 PLN/kg","Wzmocniona masa spoinowa Uniflott do krawędzi VARIO bez taśmy, wysoka wytrzymałość spoiny; wariant norm/lux.","Усиленная шпаклёвка Uniflott для кромок VARIO без ленты, высокая прочность шва; вариант norm/lux."
Masa szpachlowa do spoin Knauf Uniflott,Шпаклёвка для швов Knauf Uniflott,MASA_SPOINOWA,Knauf,OBI,"norm,lux",kg,PLN,5.20,8.19,6.66,https://www.knauf.pl/produkty/masy-szpachlowe,"karta produktu Knauf Uniflott, worek 25kg, cena netto ~6.7 PLN/kg",Masa spoinowa Knauf Uniflott do łączeń płyt z krawędzią HRAK bez taśmy; wariant norm/lux o wysokiej twardości.,Шпаклёвка Knauf Uniflott для стыков плит с кромкой HRAK без ленты; вариант norm/lux высокой твёрдости.
Taśma spoinowa papierowa 50mm (23m),Лента для швов бумажная 50мм (23м),TASMA_SPOINOWA,Rigips,PSB Mrówka,"budget,norm,lux",mb,PLN,0.20,0.32,0.26,https://www.rigips.pl/produkty/masy-szpachlowe,"karta produktu Rigips taśma spoinowa papierowa, rolka 23m, cena netto ~0.26 PLN/mb","Papierowa taśma zbrojąca spoiny płyt GK, ~1.2 mb taśmy na m2 okładziny; standard łączeń.","Бумажная армирующая лента для швов ГК, ~1.2 пм ленты на м2 обшивки; стандарт стыков."
Wełna mineralna akustyczna 50mm,Минеральная вата акустическая 50мм,WELNA_AKUSTYCZNA,Rockwool,Leroy Merlin,"budget,norm,lux",m2,PLN,12.50,19.49,15.85,https://www.rockwool.com/pl/produkty-i-zastosowania/katalog-produktow/,"katalog Rockwool wełna do ścian działowych 50mm, cena netto ~15.9 PLN/m2","Płyta z wełny mineralnej 50mm do wypełnienia akustycznego ścianek GK, ~1 m2/m2 ściany; standard izolacji akustycznej.","Плита минеральной ваты 50мм для акустического заполнения ГК-перегородок, ~1 м2/м2 стены; стандарт звукоизоляции."
Wełna mineralna akustyczna 75mm,Минеральная вата акустическая 75мм,WELNA_AKUSTYCZNA,Rockwool,OBI,"norm,lux",m2,PLN,17.90,27.99,22.76,https://www.rockwool.com/pl/produkty-i-zastosowania/katalog-produktow/,"katalog Rockwool wełna 75mm do profili CW 75, cena netto ~22.8 PLN/m2","Wełna mineralna 75mm do profili CW 75 w ściankach norm/lux, lepsza izolacyjność akustyczna; ~1 m2/m2 ściany.","Минеральная вата 75мм для профилей CW 75 в перегородках norm/lux, лучшая звукоизоляция; ~1 м2/м2 стены."
Bloczek z betonu komórkowego Solbet 100mm,Блок газобетонный Solbet 100мм,BLOCZEK_KOMORKOWY,Solbet,PSB Mrówka,"budget,norm",szt,PLN,6.20,9.59,7.80,https://solbet-lubartow.pl/produkty/bloczki/,"karta produktu Solbet Optimal 100mm (590x100x240), ~7 szt/m2, cena netto ~7.8 PLN/szt","Bloczek z betonu komórkowego 100mm (590x240), ~7 szt/m2 ściany, do ścianek działowych murowanych; budżet/norm.","Газобетонный блок 100мм (590x240), ~7 шт/м2 стены, для кладочных перегородок; вариант budget/norm."
Bloczek z betonu komórkowego Ytong 100mm,Блок газобетонный Ytong 100мм,BLOCZEK_KOMORKOWY,Ytong,Leroy Merlin,lux,szt,PLN,7.10,10.99,8.94,https://www.ytong.pl/bloczki-ytong.php,"karta produktu Ytong 100mm (599x199), ~8.4 szt/m2, cena netto ~8.9 PLN/szt","Bloczek Ytong 100mm (599x199), gładkie krawędzie do cienkiej spoiny, ~8.4 szt/m2; wariant lux o stabilnej geometrii.","Блок Ytong 100мм (599x199), гладкие грани под тонкий шов, ~8.4 шт/м2; вариант lux со стабильной геометрией."
Zaprawa klejowa do betonu komórkowego Solbet,Клеевой раствор для газобетона Solbet,ZAPRAWA_KLEJ_BLOCZKI,Solbet,PSB Mrówka,"budget,norm",kg,PLN,1.10,1.75,1.42,https://solbet-lubartow.pl/produkty/chemia-budowlana/,"karta produktu Solbet zaprawa do cienkich spoin, worek 25kg, zużycie ~1.5 kg/m2 (10cm), cena netto ~1.4 PLN/kg","Cienkowarstwowa zaprawa klejowa Solbet do bloczków komórkowych, ~1.5 kg/m2 dla ściany 10cm; budżet/norm.","Тонкослойный клеевой раствор Solbet для газоблоков, ~1.5 кг/м2 для стены 10см; вариант budget/norm."
Zaprawa klejowa do betonu komórkowego Ytong,Клеевой раствор для газобетона Ytong,ZAPRAWA_KLEJ_BLOCZKI,Ytong,Leroy Merlin,lux,kg,PLN,1.30,2.05,1.67,https://www.ytong.pl/zaprawy-i-kleje.php,"karta produktu Ytong zaprawa cienkowarstwowa, worek 25kg, zużycie ~1.5 kg/m2 (10cm), cena netto ~1.7 PLN/kg","Zaprawa cienkowarstwowa Ytong do murowania bloczków komórkowych, ~1.5 kg/m2 (10cm); wariant lux.","Тонкослойный клеевой раствор Ytong для кладки газоблоков, ~1.5 кг/м2 (10см); вариант lux."
Zaprawa murarska cementowo-wapienna Atlas,Кладочный раствор цементно-известковый Atlas,ZAPRAWA_MURARSKA,Atlas,PSB Mrówka,"budget,norm,lux",kg,PLN,0.85,1.35,1.10,https://www.atlas.com.pl/produkty/zaprawy-murarskie,"karta produktu Atlas zaprawa murarska, worek 25kg, cena netto ~1.1 PLN/kg",Zaprawa murarska cementowo-wapienna do wycinania/uzupełnień muru i osadzania belek; uniwersalna.,Кладочный цементно-известковый раствор для вырезки/дополнений кладки и установки перемычек; универсальный.
Nadproże / belka nadprożowa L19 (1.2m),Перемычка L19 (1.2м),BELKA_NADPROZOWA,Solbet,PSB Mrówka,"budget,norm,lux",szt,PLN,58.00,89.99,73.16,https://solbet-lubartow.pl/produkty/nadproza/,"karta produktu Solbet nadproże prefabrykowane, cena netto ~73 PLN/szt",Prefabrykowane nadproże żelbetowe do przekrycia otworu w ścianie z bloczków; standard belki poprzecznej.,Сборная железобетонная перемычка для перекрытия проёма в кладке из блоков; стандарт поперечной балки.
Kątownik aluminiowy narożnikowy do GK (2.5m),Уголок алюминиевый для ГК (2.5м),KATOWNIK_ALUMINIOWY,Rigips,Leroy Merlin,"budget,norm,lux",mb,PLN,1.40,2.19,1.78,https://www.rigips.pl/produkty/profile-i-akcesoria,"karta produktu Rigips narożnik aluminiowy 25x25, cena netto ~1.8 PLN/mb",Narożnik aluminiowy do zabezpieczenia krawędzi suchej zabudowy GK; standard wykończenia narożników.,Алюминиевый уголок для защиты кромок сухой ГК-конструкции; стандарт отделки углов.
Narożnik papierowy z wkładką (30m),Уголок бумажный с вкладкой (30м),NAROZNIK_PAPIEROWY,Rigips,Leroy Merlin,"budget,norm,lux",mb,PLN,0.90,1.45,1.18,https://www.rigips.pl/produkty/masy-szpachlowe,"karta produktu Rigips narożnik papierowy z wkładką, rolka 30m, cena netto ~1.2 PLN/mb",Taśma narożnikowa papierowa z wkładką do wzmocnienia połączeń ścian z sufitem; wykończenie narożników wklęsłych/wypukłych.,Бумажная угловая лента с вкладкой для усиления стыков стен с потолком; отделка внутренних/внешних углов.
Beton / mieszanka betonowa C16/20 (worek 25kg),Бетонная смесь C16/20 (мешок 25кг),MIESZANKA_BETONOWA,Atlas,Castorama,"budget,norm,lux",kg,PLN,0.70,1.09,0.89,https://www.castorama.pl/produkty/budowa/cement-wapno-beton,"katalog Castorama sucha mieszanka betonowa 25kg, cena netto ~0.9 PLN/kg","Sucha mieszanka betonowa do wykonania płyty betonowej (półka/blat), ~20 kg/m2 na 10mm grubości.","Сухая бетонная смесь для заливки бетонной плиты (полка/столешница), ~20 кг/м2 на 10мм толщины."
Rura PP-R PN20 fi20,Труба PP-R PN20 fi20,RURA_PP,Kan,PSB Mrówka,"budget,norm",mb,PLN,4.20,6.49,5.28,https://fr.kan-therm.com/system/system-kan-therm-pp,"karta systemu KAN-therm PP, rura PP-R do instalacji cieplej i zimnej wody, cena netto orientacyjna za mb","Rura polipropylenowa PP-R PN20 fi20 do zgrzewania, podstawowa rura punktu wodnego w instalacji podtynkowej, wariant budzetowo-normowy.","Полипропиленовая труба PP-R PN20 fi20 под сварку, базовая труба водяной точки в скрытой разводке, бюджетно-нормовый вариант."
Rura PEX/Al/PEX fi16,Труба PEX/Al/PEX fi16,RURA_PEX,Kan,Onninen,"norm,lux",mb,PLN,6.10,9.49,7.72,https://fr.kan-therm.com/,"katalog KAN-therm rury wielowarstwowe PE-Xc/Al, cena netto orientacyjna za mb","Rura wielowarstwowa PEX/Al/PEX fi16 z wkladka aluminiowa, stabilna forma i mniejsza rozszerzalnosc, wariant norm/lux do punktow wodnych.","Многослойная труба PEX/Al/PEX fi16 с алюминиевым слоем, стабильная форма и меньшее расширение, вариант norm/lux для водяных точек."
Kształtki PP-R zgrzewane (kolano/mufa/trójnik),Фитинги PP-R под сварку (колено/муфта/тройник),KSZTALTKI_PP,Kan,Onninen,"budget,norm",szt,PLN,2.10,3.29,2.67,https://onninen.pl/ro/serie/kan-therm-pp/latura:2,"katalog Onninen KAN-therm PP, ksztaltki PP-R zgrzewane, cena netto orientacyjna za szt","Ksztaltki PP-R (kolana, mufy, trojniki, redukcje) do zgrzewania rur PP, zuzywane przy kazdym punkcie wodnym, wariant budzetowo-normowy.","Фитинги PP-R (колена, муфты, тройники, переходы) под сварку труб PP, расходуются на каждой водяной точке, бюджетно-нормовый вариант."
Kształtki zaciskowe PEX/Al (kolano/trójnik),Пресс-фитинги PEX/Al (колено/тройник),KSZTALTKI_PEX,Kan,Onninen,"norm,lux",szt,PLN,7.80,12.29,9.99,https://onninen.pl/ro/serie/kan-therm-pp/latura:2,"katalog Onninen KAN-therm zlaczki zaciskowe/press do rur wielowarstwowych, cena netto orientacyjna za szt","Zlaczki zaciskowe/press do rur PEX/Al fi16, montaz bez zgrzewania, wariant norm/lux przy punktach wodnych.","Пресс-/обжимные фитинги для труб PEX/Al fi16, монтаж без сварки, вариант norm/lux на водяных точках."
Rura kanalizacyjna PVC-U fi50,Канализационная труба PVC-U fi50,RURA_KANALIZACYJNA_PVC,Wavin,POL-PLUS,"budget,norm,lux",mb,PLN,7.40,11.49,9.34,https://www.wavin.com/de-de/product/e57049e0-21ba-4622-a29b-d8d72acef588,"karta produktu Wavin KG PVC-U (rura kanalizacyjna), cena netto orientacyjna za mb dla fi50","Rura kanalizacyjna PVC-U fi50 z uszczelka kielichowa do podejsc umywalki/prysznica, standard rynku PL.","Канализационная труба PVC-U fi50 с раструбным уплотнением для подводок умывальника/душа, стандарт польского рынка."
Rura kanalizacyjna PVC-U fi110,Канализационная труба PVC-U fi110,RURA_KANALIZACYJNA_PVC,Wavin,POL-PLUS,"budget,norm,lux",mb,PLN,16.90,26.49,21.54,https://www.wavin.com/de-de/product/e57049e0-21ba-4622-a29b-d8d72acef588,"karta produktu Wavin KG PVC-U DN110 (rura kanalizacyjna), cena netto orientacyjna za mb","Rura kanalizacyjna PVC-U fi110 do podejscia miski WC i pionu, standard rynku PL, we wszystkich pakietach.","Канализационная труба PVC-U fi110 для подводки унитаза и стояка, стандарт польского рынка, во всех пакетах."
Kształtki kanalizacyjne PVC (kolano/trójnik/redukcja),Канализационные фитинги PVC (колено/тройник/переход),KSZTALTKI_KANALIZACYJNE,Wavin,POL-PLUS,"budget,norm,lux",szt,PLN,3.60,5.69,4.63,https://www.wavin.com/de-de/product/e57049e0-21ba-4622-a29b-d8d72acef588,"katalog Wavin KG ksztaltki PVC (kolana/trojniki/redukcje), cena netto orientacyjna za szt","Ksztaltki kanalizacyjne PVC (kolana, trojniki, redukcje) fi50/110 do podejsc odplywowych przy kazdym punkcie kan.","Канализационные фитинги PVC (колена, тройники, переходы) fi50/110 для отводных подводок на каждой канализационной точке."
Uchwyt/obejma do rur z wkładką gumową,Хомут/крепёж для труб с резиновой вкладкой,UCHWYT_OBEJMA,Kan,Castorama,"budget,norm,lux",szt,PLN,1.10,1.79,1.46,https://plastbor.com/uchwyty-do-rur-pp/,"katalog uchwytow do rur PP/kanalizacji, obejma z wkladka gumowa, cena netto orientacyjna za szt","Obejma montazowa z wkladka gumowa do mocowania rur PP i kanalizacyjnych w bruzdach/na scianie, zuzywana wzdluz trasy rury.","Монтажный хомут с резиновой вкладкой для крепления труб PP и канализации в штробах/на стене, расходуется вдоль трассы трубы."
Taśma teflonowa PTFE,Лента ФУМ (PTFE),USZCZELNIENIE_GWINTU,Tycner,Leroy Merlin,"budget,norm",szt,PLN,1.40,2.19,1.78,https://www.leroymerlin.pl,"katalog Leroy Merlin tasma teflonowa PTFE, cena netto orientacyjna za rolke (przeliczono na szt uzycia)","Tasma teflonowa PTFE do uszczelniania polaczen gwintowanych baterii i przylaczy, material zuzywalny na punkt.","Лента ФУМ (PTFE) для уплотнения резьбовых соединений смесителей и подводок, расходный материал на точку."
