branch,type_code,unit,uses,median_norm_qty
construction,RURA_PP,mb,2,2.5000
construction,SILIKON,l,17,0.0300
construction,SILIKON,szt,15,0.3000
finishing,SILIKON,szt,3,0.2000
construction,SILIKON_SANITARNY,szt,37,0.5000
construction,STELAZ_PODTYNKOWY,szt,3,1.0000
construction,SYFON_WEZYK,szt,3,1.0000
finishing,SZTUKATERIA,mb,6,1.0500
finishing,TAPETA_FLIZELINOWA,m2,3,1.0500
finishing,TAPETA_WINYLOWA,m2,3,1.0500
construction,TARCZA_TNACA,szt,28,0.0350
construction,TASMA_DWUSTRONNA,m2,4,0.0750
construction,TASMA_IZOLACYJNA,mb,2,0.3000
construction,TASMA_MALARSKA,szt,12,0.1000
finishing,TASMA_MALARSKA,szt,2,0.1000
construction,TASMA_SPOINOWA,mb,1,1.2000
construction,TASMA_TEFLONOWA,szt,27,0.1000
construction,TASMA_TYNKARSKA,szt,2,0.2000
construction,TASMA_USZCZELNIAJACA,szt,6,0.2750
construction,TEKTURA_OCHRONNA,m2,5,0.1000
construction,TOPNIK_LUTOWNICZY,kg,1,0.0010
finishing,TYNK_DEKORACYJNY,m2,3,1.0000
construction,UCHWYT_OBEJMA,szt,3,2.0000
construction,USZCZELKI,szt,33,1.0000
construction,USZCZELNIENIE_GWINTU,szt,11,1.0000
construction,WELNA_AKUSTYCZNA,m2,3,1.0000
construction,WEZYK_PRZYLACZENIOWY,szt,3,2.0000
construction,WKRETY,szt,12,5.0000
construction,WKRET_GK,szt,24,22.0000
construction,WKRET_KOLEK_MONTAZOWY,szt,33,2.0000
construction,WOREK_NA_GRUZ,szt,18,0.0500
construction,WYLEWKA_SAMOPOZIOMUJACA,kg,3,5.1000
construction,ZAPRAWA_KLEJ_BLOCZKI,kg,3,1.5000
construction,ZAPRAWA_MONTAZOWA,kg,28,1.3000
construction,ZAPRAWA_MURARSKA,kg,21,8.0000
construction,ZAPRAWA_NAPRAWCZA,kg,10,2.0000
construction,ZAPRAWA_TYNKARSKA,kg,5,1.7500
construction,ZASLEPKA,szt,6,1.5000
construction,ZAWOR_KATOWY,szt,3,2.0000
construction,ZLACZKA_INSTALACYJNA,szt,21,2.0000
