LP,ZAKRES,ПЕРЕЧЕНЬ РАБОТ,ILOŚĆ,JM,CENA,WARTOŚĆ,KOMENTARZ,,ZMIANA +/-,CENA DOP,JM,WARTOŚĆ,KOMENTARZ,,FINAŁ,JM,WARTOŚĆ,,Progres,%,Wart Progres,,przedp,hol,kuch,salon,biuro,master,pok1,pok2,pok3,laz1,laz2,laz3,sch1,,PAKIET START,PAKIET COMFORT,PAKIET PRESTIGE,JM,WARTOŚĆ START,WARTOŚĆ COMFORT,WARTOŚĆ PRESTIGE,,MATERIAŁ 1,NA JM,ILOŚĆ,MATERIAŁ 2,NA JM,ILOŚĆ,MATERIAŁ 3,NA JM,ILOŚĆ,MATERIAŁ 4,NA JM,ILOŚĆ,MATERIAŁ 5,NA JM,ILOŚĆ,,Zakres,Cena J,J,Umowa il,Ilość,Wykonane il,KOM,,Marż J,Koszt Umowa,Profit Umowa,Marż W Umowa,Kwota,Profit Plan,Marż W Plan,Koszt Fakt,Profit Fakt,Marż W Fakt,,Pracownik,2024-09-05,Pracownik,2024-09-12,Pracownik,2024-09-19,Pracownik,2024-09-26,Pracownik,2024-10-03,Pracownik,2024-10-10,Pracownik,2024-10-17,Pracownik,2024-10-24,Pracownik,2024-10-31,Pracownik,2024-11-07,Pracownik,2024-11-14,Pracownik,2024-11-21,Pracownik,2024-11-28,Pracownik,2024-12-05,Pracownik,2024-12-12,Pracownik,2024-12-19
"1,09",Demontaże / wyburzenie płytek,Демонтаж плитки,"0,0",m2,"66,00 zł","0,00 zł",,,,"66,00 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Демонтаж плитки,"24,00 zł",m2,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,10",Demontaże / wyburzenie paneli podłogowych ułożonych na pływająco,Демонтаж пола,"0,0",m2,"16,50 zł","0,00 zł",,,,"16,50 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Демонтаж пола,"6,00 zł",m2,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,11","Demontaże / wyburzenie paneli, deski ułożonych na klej",Демонтаж пола на клею,"0,0",m2,"33,00 zł","0,00 zł",,,,"33,00 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Демонтаж пола на клею,"12,00 zł",m2,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,12",Demontaże / wyburzenie listw przypodłogowych,Демонтаж плинтусов,"0,0",m2,"5,50 zł","0,00 zł",,,,"5,50 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Демонтаж плинтусов,"2,50 zł",m2,"0,0","0,0","0,0",,,55%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,KONSTRUKCJE I GK,КОНСТРУКЦИИ,,,,"0,00 zł",,,,,,"0,00 zł","0,00 zł",,,,"0,00 zł",,,0%,"0,00zł",,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,0 zł,,,,,,"0,00zł","0,00zł","0,00zł",,,,,,,,,,,,,,,,,,КОНСТРУКЦИИ,,,,,,,,,"0,00 zł","0,00 zł",0%,"0,00 zł","0,00 zł",0%,"0,00 zł","0,00 zł",0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,01",Obniżenie wysokości otworów drzwiowych - dostosowanie do stolarki,Уменьшение высоты дверных проемов - подгонка под стандартные размеры,"0,0",kpl,"198,00 zł","0,00 zł",,,,"198,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Уменьшение высоты дверных проемов - подгонка под стандартные размеры,"70,00 zł",kpl,"0,0","0,0","0,0",,,65%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,02",Zmniejszenie otworu (GK + wyrównanie) <3cm,"Уменьшение дверного проёма, до 3 см (зашивка ГК)","0,0",kpl,"176,00 zł","0,00 zł",,,,"176,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,"Уменьшение дверного проёма, до 3 см (зашивка ГК)","65,00 zł",kpl,"0,0","0,0","0,0",,,63%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,03",Zmniejszenie otworu (GK + wyrównanie) >3cm,"Уменьшение дверного проёма, больше 3 см (зашивка блоком и выравнивание)","0,0",kpl,"352,00 zł","0,00 zł",,,,"352,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,"Уменьшение дверного проёма, больше 3 см (зашивка блоком и выравнивание)","130,00 zł",kpl,"0,0","0,0","0,0",,,63%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,04",Poszerzenie otworu drzwiowego ściany <5 cm,"Расширение дверного проёма из ГБ / кирпича, до 5 см","0,0",kpl,"176,00 zł","0,00 zł",,,,"176,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,"Расширение дверного проёма из ГБ / кирпича, до 5 см","65,00 zł",kpl,"0,0","0,0","0,0",,,63%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,05",Poszerzenie otworu drzwiowego ściany >5 cm,"Расширение дверного проёма из ГБ / кирпича, больше 5 см","0,0",kpl,"242,00 zł","0,00 zł",,,,"242,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,"Расширение дверного проёма из ГБ / кирпича, больше 5 см","90,00 zł",kpl,"0,0","0,0","0,0",,,63%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,06",Demontaż / montaż belki poprzecznej w ścianie z bloczków,Демонтаж / монтаж балки дверного проёма,"0,0",kpl,"407,00 zł","0,00 zł",,,,"407,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Демонтаж / монтаж балки дверного проёма,"150,00 zł",kpl,"0,0","0,0","0,0",,,63%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,07",Nowa belka poprzeczna w ścianie z bloczków,Монтаж поперечной балки в дверном проеме,"0,0",kpl,"132,00 zł","0,00 zł",,,,"132,00 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж поперечной балки в дверном проеме,"45,00 zł",kpl,"0,0","0,0","0,0",,,66%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,08",Wycięcie posadzki pod nową ścianę murowaną z bloczków,Штроба в полу для установки стены,"0,0",mb,"55,00 zł","0,00 zł",,,,"55,00 zł",mb,"0,00 zł",,,"0,0",mb,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,mb,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Штроба в полу для установки стены,"20,00 zł",mb,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,09",Ściana murowana z bloczków komórkowych do 10cm gr.,Монтаж стены из газосиликатных блоков,"0,0",m2,"165,00 zł","0,00 zł",,,,"165,00 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж стены из газосиликатных блоков,"60,00 zł",m2,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,10",Gładź startowa i tynkowanie ściany murowanej,Стартовая шпаклевка и штукатурка для новой стены из блоков,"0,0",m2,"97,90 zł","0,00 zł",jednostronne,,,"97,90 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,"Tynk, kg",,"0,00","Gładź start, kg","1,30","0,00",,,"0,00",,,"0,00",,,"0,00",,Стартовая шпаклевка и штукатурка для новой стены из блоков,"35,00 zł",m2,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,11","Ścianka GK, płytowana obustronnie podwójnie, szpachlowanie łączeń",Монтаж стены из ГК с двух сторон двухсторонняя с заделкой швов,"0,0",m2,"196,90 zł","0,00 zł",,,,"196,90 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж стены из ГК с двух сторон двухсторонняя с заделкой швов,"70,00 zł",m2,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,12",Wypełnienie wełną akustyczną ściany gk,Заполнение стен из ГК акустической ватой,"0,0",m2,"22,00 zł","0,00 zł",,,,"22,00 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Заполнение стен из ГК акустической ватой,"8,00 zł",m2,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,13","Przedścianka GK, płytowana jednostronnie podwójnie, szpachlowanie łączeń",Монтаж предстенка из ГК с заделкой швов,"0,0",m2,"152,90 zł","0,00 zł",,,,"152,90 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Монтаж предстенка из ГК с заделкой швов,"55,00 zł",m2,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,14",Licowanie ścian płytą GK bez szpachlowania,Облицовка стен гипсокартоном,"0,0",m2,"68,20 zł","0,00 zł",,,,"68,20 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Облицовка стен гипсокартоном,"25,00 zł",m2,"0,0","0,0","0,0",,,63%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,15",Licowanie / przedścianka z płyty OSB,Облицовка / стена с плиты OSB,"0,0",m2,"55,00 zł","0,00 zł",,,,"55,00 zł",m2,"0,00 zł",,,"0,0",m2,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,m2,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Облицовка / стена с плиты OSB,"20,00 zł",m2,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,16",Obszycie stelażu WC płytą GK (do 120x100 cm),Обшивка туалетной рамы гипсокартоном (до 120х100 см),"0,0",kpl,"196,90 zł","0,00 zł",,,,"196,90 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,"0,0","0,0","0,0",,,0,0,0,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Обшивка туалетной рамы гипсокартоном (до 120х100 см),"75,00 zł",kpl,"0,0","0,0","0,0",,,62%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,17",Obudowa wanny gk (1 strona),Корпус ванны из гипсокартона (1 сторона),"0,0",kpl,"295,90 zł","0,00 zł",,,,"295,90 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Корпус ванны из гипсокартона (1 сторона),"90,00 zł",kpl,"0,0","0,0","0,0",,,70%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,18",Obudowa wanny gk (2/3 strona),Корпус ванны из гипсокартона (2/3 стороны),"0,0",kpl,"492,80 zł","0,00 zł",,,,"492,80 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Корпус ванны из гипсокартона (2/3 стороны),"140,00 zł",kpl,"0,0","0,0","0,0",,,72%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,19",Wykonanie rewizji pod wanną,Выполнение ревизии под ванной,"0,0",kpl,"137,50 zł","0,00 zł",,,,"137,50 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Выполнение ревизии под ванной,"50,00 zł",kpl,"0,0","0,0","0,0",,,64%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,20",Półka z GK do szerokości 80 cm,Полка из ГК шириной до 80 см,"0,0",kpl,"152,90 zł","0,00 zł",,,,"152,90 zł",kpl,"0,00 zł",,,"0,0",kpl,"0,00 zł",,"0,0",0%,"0,0",,,,,,,,,,,,,,,,,,,kpl,"0,00 zł","0,00 zł","0,00 zł",,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,00",,Полка из ГК шириной до 80 см,"50,00 zł",kpl,"0,0","0,0","0,0",,,67%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,"0,00 zł",0 zł,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
